Vote,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,Avg_government_satisfaction,Weighted_education_rank,Number_of_valued_Kneset_members,Avg_education_importance
1,2,0.3596739104858475,0.3242763405149248,0.06585121932456339,0.8775714285714286,0.37578615100770385,0.2714617479253174,0.0,0.38196674297880207
1,4,0.3043085484840985,0.295871832259051,0.47311331640895454,0.12128571428571427,0.38448324168742903,0.28519700598482467,0.2727272727272727,0.39462302482580014
4,2,0.2968427792755589,0.7896134206914014,0.6717439803061773,0.6095714285714285,0.6774866091295223,0.5489209250592525,0.45454545454545453,0.8414539441825296
0,0,0.9258295700140741,0.4242715764997829,0.46165089622278643,0.714,0.9807089787745,0.5526791702929423,0.9090909090909091,0.5392636718068581
7,2,0.17891232808029145,0.4237131313596356,0.32510193091776296,0.3961428571428571,0.4353693207458022,0.1092925215040218,0.6363636363636364,0.5393392408791486
12,0,0.23228525330807248,0.5493401041870262,0.5857373644126472,0.48357142857142854,0.507630762619412,0.13318785400867567,0.9090909090909091,0.38227578713845883
0,7,0.9076208859303561,0.7917340395142659,0.7960612354796524,0.09299999999999999,0.3802678349572185,0.37127370051537956,0.36363636363636365,0.5985584621722684
2,1,0.18561670713441847,0.3050385868904979,0.46157396722824834,0.1427142857142857,0.4401708056951346,0.2809492563051195,0.9090909090909091,0.6606785237093635
7,2,0.3594257779678783,0.4273958704339344,0.47311331640895454,0.12128571428571427,0.48609772404795104,0.07389442107055814,0.45454545454545453,0.47710079032129404
7,0,0.527155602182732,0.4475542821932151,0.24324948072928693,0.5481428571428572,0.46870230139969443,0.08450016132321941,1.0,0.43890950226209346
4,4,0.0623855703160519,0.2873760685876434,0.9450726978998385,0.102,0.30864605473781864,0.3901123596109592,0.45454545454545453,0.30466373426294535
10,0,0.18027724198814052,0.9926253714410893,0.8874528809908456,0.20899999999999996,0.955428851604251,0.9216845679587102,0.9090909090909091,0.9336773616147054
0,0,0.7458691019429705,0.1978309802273543,0.5132702515578121,0.6181428571428571,0.35911465823580446,0.48749987450110593,0.8181818181818182,0.2296144237995231
7,7,0.22908593946739325,0.3945957841655228,0.15608892991768603,0.7100000000000001,0.33770701604487874,0.23955611350959505,0.7272727272727273,0.39904449819796534
7,0,0.5306868787435114,0.4075938620828903,0.13524117239787684,0.7487142857142858,0.4480316345334964,0.11371103161885916,1.0,0.5336280409204663
9,2,0.4403412686714493,0.754899675379632,0.5628894530348488,0.8117142857142857,0.9816209597513047,0.7372696105956037,0.36363636363636365,0.8394721543932069
7,1,0.4255215089202854,0.4219725330991245,0.2987922147857528,0.44499999999999995,0.3790906675222438,0.1542531008814757,0.7272727272727273,0.5226783270733115
3,5,0.16329690232702498,0.6480763948747207,0.3712593276405878,0.5961428571428571,0.42687062553345967,0.17796853372558769,0.0,0.5158954910762312
9,2,0.29792657650905985,0.647279650232708,0.9785368105238864,0.039857142857142855,0.8827798645586052,0.5415638377360361,0.6363636363636364,0.7406054955547617
7,2,0.31595405589659287,0.49502604665825206,0.2500961612431726,0.5354285714285714,0.46435353077192715,0.029058817421521072,0.6363636363636364,0.4846293150875713
12,2,0.6182595408035171,0.5981476419183744,0.39426109700746215,0.8391428571428572,0.5588349770760203,0.20021967735832547,0.5454545454545454,0.6452960970204191
7,1,0.5909009346876649,0.4271116457370649,0.094699592276329,0.824,0.407105569308638,0.1527563055347027,0.7272727272727273,0.5831552751987841
7,1,0.12638352439093886,0.3957304157503197,0.024155704284945036,0.955,0.45194682937270625,0.1380175017171257,0.6363636363636364,0.5649647488326933
4,7,0.045532050529057004,0.0022494747705162684,0.4956535118086007,0.5061428571428571,0.008576846610357968,0.9875124335280094,0.5454545454545454,0.008865580265276488
11,1,0.06476573690463226,0.5400533611727116,0.049619201477036814,0.9077142857142857,0.3823285914836626,0.13729548140993023,0.36363636363636365,0.4578763278489956
4,0,0.22473475846124366,0.0220975799763221,0.6604354181090855,0.6305714285714286,0.34700295904185263,0.26955683826960175,1.0,0.07034975125581835
7,4,0.20212088834489905,0.40598389310454697,0.19824601892453272,0.6317142857142857,0.3942987690768548,0.1540028648155739,0.7272727272727273,0.5339252427798319
12,1,0.6049578847920558,0.2573924104572481,0.6362027848296025,0.38985714285714285,0.5070665840064017,0.3538956646245556,0.8181818181818182,0.2982108887258221
7,2,0.15130701677107142,0.4287530955178377,0.03446418955304258,0.9358571428571429,0.5197998519580551,0.09266845525514182,0.36363636363636365,0.5570910018308711
6,7,0.13353990194182044,0.7116528850125889,0.4483421801677052,0.16728571428571426,0.6558275046074842,0.29174301986554196,0.09090909090909091,0.5057563402377023
7,4,0.5642579583831544,0.39967786375036557,0.4272636356642818,0.2064285714285714,0.4133298509197769,0.15580483668587922,0.6363636363636364,0.43644284594918337
7,2,0.4509112891033868,0.4650729161017416,0.19263020232325567,0.6421428571428571,0.47054549807732143,0.06314833749481907,0.5454545454545454,0.5506398434374893
4,2,0.197416949626476,0.028156633531482712,0.6015847372874839,0.7398571428571429,0.0935181217009999,0.9189696004483211,0.2727272727272727,0.0037079332397873138
4,7,0.37053664707486617,0.25670773969231747,0.617201323178706,0.7108571428571429,0.34096899902360744,0.4109300395854125,0.6363636363636364,0.2807063729009277
6,1,0.5061188026698623,0.32060182154634814,0.5288099084544966,0.017857142857142856,0.3522085087116386,0.2589023352583945,0.45454545454545453,0.5328339286083257
7,0,0.22147716703852724,0.4202583075331945,0.11508577582890994,0.7861428571428571,0.4315630875783648,0.1351272956811936,0.9090909090909091,0.4244268508515675
4,0,0.6207476154984652,0.7877287168924263,0.7021309331487038,0.5531428571428572,0.7768781144659449,0.672036190915184,0.7272727272727273,0.9294361607738685
12,4,0.038952221192689145,0.29993943238422327,0.6422801753981076,0.37857142857142856,0.3275421766043418,0.3145181014323704,0.8181818181818182,0.5989633088152738
10,0,0.087253371382414,0.9545350513283456,0.5172705592737904,0.8964285714285714,0.9932243778175556,0.9324357511127173,0.7272727272727273,0.9505747904474084
1,2,0.134705724759457,0.325742886215281,0.4377259789214555,0.18699999999999997,0.4401708056951346,0.27252834090275796,0.09090909090909091,0.38384260436144896
8,3,0.1411706096696308,0.4654309688963385,0.3411800907762136,0.652,0.4780053707745441,0.05485817098917423,0.36363636363636365,0.5454091465802182
1,7,0.30185876917020793,0.31846582106730487,0.42964843449496115,0.20199999999999996,0.38229975873504285,0.2571702639682409,0.18181818181818182,0.41275561067731015
10,0,0.3178951297347186,0.0424813454616013,0.7041310870066929,0.5494285714285715,0.18682912009767688,0.6431864166339792,1.0,0.4098075175609112
12,7,0.6761704797003977,0.27130573623459026,0.5578121393953381,0.5354285714285714,0.3209361882625583,0.3377417332082665,0.7272727272727273,0.5820630559987177
6,0,0.2867581588450541,0.3654372941357197,0.10970074621124706,0.7961428571428572,0.41662380243215424,0.18185552376492187,0.36363636363636365,0.5597461436451423
7,2,0.38950542358632,0.3519886832600036,0.5039618432187093,0.064,0.3965769824225397,0.20154595336869202,0.5454545454545454,0.45558366239495657
